---------------- DATA DE LAS VENTAS DE PEDIDOS DE LA EMPRESA DELIPAY ------------------------------------------------------------

PedidoID,Cliente,Producto,Cantidad,FechaPedido,FechaEnvio,Estado,Comentarios,Recomendación,ClasificaciónComentario
134,Beatriz Gómez,Producto B,3,2023-09-11,2023-09-13,Entregado,Producto defectuoso,No recomendado,0
135,Francisco Pérez,Producto C,2,2023-09-12,2023-09-14,Enviado,,,
136,Elena Sánchez,Producto D,4,2023-09-13,2023-09-15,Entregado,Mal embalaje,No recomendado,0
137,Pedro Rodríguez,Producto A,5,2023-09-14,2023-09-16,En proceso,,,
138,Sara Fernández,Producto B,2,2023-09-15,2023-09-17,Entregado,Buen producto,Recomendado,1
139,Ricardo Jiménez,Producto C,1,2023-09-16,2023-09-18,En proceso,,,
140,Inés Martín,Producto D,3,2023-09-17,2023-09-19,Entregado,Entrega puntual,Recomendado,1
141,Antonio Ruiz,Producto A,4,2023-09-18,2023-09-20,En proceso,,,
142,Clara Gómez,Producto B,5,2023-09-19,2023-09-21,Entregado,Producto defectuoso,No recomendado,0
143,Rafael López,Producto C,2,2023-09-20,2023-09-22,Enviado,,,
144,María Ramírez,Producto D,4,2023-09-21,2023-09-23,Entregado,Excelente servicio,Altamente recomendado,1
145,David Sánchez,Producto A,1,2023-09-22,2023-09-24,En proceso,,,
146,Natalia Pérez,Producto B,3,2023-09-23,2023-09-25,Entregado,Entrega rápida,Recomendado,1
147,Álvaro Fernández,Producto C,5,2023-09-24,2023-09-26,En proceso,,,
148,Sofía Gómez,Producto D,2,2023-09-25,2023-09-27,Entregado,Mal embalaje,No recomendado,0
149,Enrique Jiménez,Producto A,3,2023-09-26,2023-09-28,Enviado,,,
150,Mónica Rodríguez,Producto B,1,2023-09-27,2023-09-29,Entregado,Entrega tardía,No recomendado,0


------------------------------------------------------------------------------------------------------------------------
